uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
Q8IXJ6-2|SIR2-like protein 2
Q5JTV8|Lamin-associated protein 1BLAP1B

Q9NQB0|HMG box transcription factor 4
Q9NQB0|T-cell-specific transcription factor 4T-cell factor 4TCF-4hTCF-4
O14638|Phosphodiesterase I betaPD-Ibeta
O14638|Phosphodiesterase I/nucleotide pyrophosphatase 3
P35520|Beta-thionase
P35520|Serine sulfhydrase
Q9Y210|Transient receptor protein 6TRP-6
Q96D31|Protein orai-1
Q96D31|Transmembrane protein 142A
Q13507-3|Transient receptor protein 3TRP-3hTrp-3hTrp3
P41220|Cell growth-inhibiting gene 31 protein
P41220|G0/G1 switch regulatory protein 8
P48995|Transient receptor protein 1TRP-1
Q13976|cGMP-dependent protein kinase IcGKI

Q76M96|Down-regulated by oncogenes protein 1
Q76M96|Up-regulated in BRS-3 deficient mouse homolog
P50548|PE-2
P50548|Ets2 repressor factor
Q15418|90 kDa ribosomal protein S6 kinase 1p90-RSK 1p90RSK1p90S6K
Q15418|Ribosomal S6 kinase 1RSK-1
Q15418|MAP kinase-activated protein kinase 1aMAPK-activated protein kinase 1aMAPKAP kinase 1aMAPKAPK-1a
Q9NVD7|Calponin-like integrin-linked kinase-binding protein
Q9NVD7|CH-ILKBP
Q9NVD7|Actopaxin
Q9NVD7|Matrix-remodeling-associated protein 2
Q02224|Centromere protein ECENP-E
Q02224|Kinesin-7
Q02224|Kinesin-related protein CENPE
P30041|1-Cys peroxiredoxin1-Cys PRX
P30041|24 kDa protein
P30041|Acidic calcium-independent phospholipase A2aiPLA2
P30041|Antioxidant protein 2
P30041|Liver 2D page spot 40
P30041|Non-selenium glutathione peroxidaseNSGPx
P30041|Red blood cells page spot 12
Q9BY84|Mitogen-activated protein kinase phosphatase 7MAP kinase phosphatase 7MKP-7

Q96EP5|Deleted in azoospermia-associated protein 1
O95600|Zinc finger protein 741
O95600|Basic krueppel-like factor 3
P84022|JV15-2
P84022|SMAD family member 3SMAD 3Smad3hSMAD3
Q9NZ72|SCG10-like protein
P15923-2|Class B basic helix-loop-helix protein 21bHLHb21
P15923-2|Immunoglobulin enhancer-binding factor E12/E47
P15923-2|Immunoglobulin transcription factor 1
P15923-2|Kappa-E2-binding factor
P15923-2|Transcription factor 3TCF-3
P15923-2|Transcription factor ITF-1
Q96RS0|Hepatocellular carcinoma-associated antigen 137
Q96RS0|Nuclear receptor coactivator 6-interacting protein
Q96RS0|PRIP-interacting protein with methyltransferase motifPIMTPIPMT
Q96RS0|CLL-associated antigen KW-2
Q96RS0|Cap-specific guanine-N2 methyltransferase
Q5JQC9|Major sperm fibrous sheath proteinHI
Q5JQC9|Protein kinase A-anchoring protein 4PRKA4
Q5JQC9|A-kinase anchor protein 82 kDaAKAP 82hAKAP82
P01100|G0/G1 switch regulatory protein 7
P01100|Cellular oncogene fos
P19878|p67-phox
P19878|Neutrophil NADPH oxidase factor 2
P19878|NADPH oxidase activator 2
P19878|67 kDa neutrophil oxidase factor
Q15700|Postsynaptic density protein PSD-93
Q15700|Channel-associated protein of synapse-110Chapsyn-110
P37231|Nuclear receptor subfamily 1 group C member 3
Q08499-5|DPDE3
Q08499-5|PDE43
Q5T447|HECT domain-containing protein 3
Q5T447|HECT-type E3 ubiquitin transferase HECTD3
P07196|Neurofilament triplet L protein
P07196|68 kDa neurofilament protein
Q9BTL3|Protein FAM103A1
Q9BTL3|RNA guanine-7 methyltransferase activating subunit
Q9BTL3|RNMT-activating mRNA cap methyltransferase subunit
Q9BTL3|RNMT-activating mini proteinRAM

P00558|Cell migration-inducing gene 10 protein
P00558|Primer recognition protein 2PRP 2
P11308|Transforming protein ERG
P47712|Phospholipase A2 group IVA
Q7L5N1|Vpr-interacting proteinhVIP
Q7L5N1|MOV34 homolog
Q7L5N1|JAB1-containing signalosome subunit 6
Q14686|Nuclear receptor coactivator RAP250NRC RAP250
Q14686|Cancer-amplified transcriptional coactivator ASC-2
Q14686|Amplified in breast cancer protein 3
Q14686|Activating signal cointegrator 2ASC-2
Q14686|Thyroid hormone receptor-binding protein
Q14686|Peroxisome proliferator-activated receptor-interacting proteinPPAR-interacting proteinPRIP
Q14686|Nuclear receptor-activating protein, 250 kDa
Q07343-2|DPDE4
Q07343-2|PDE32
P46695|Immediate early response 3 protein
P46695|PACAP-responsive gene 1 proteinProtein PRG1
P46695|Immediate early protein GLY96
P46695|Differentiation-dependent gene 2 proteinProtein DIF-2
P49841-2|Serine/threonine-protein kinase GSK3B
Q9Y4H4|Activator of G-protein signaling 4
Q9Y4H4|G18.1b
Q9Y4H4|Protein G18

P60981|Actin-depolymerizing factorADF
Q04912|p185-Ron
Q04912|CDw136
Q04912|Protein-tyrosine kinase 8
Q13627|Dual specificity YAK1-related kinase
Q13627|HP86
Q13627|Protein kinase minibrain homologhMNBMNBH
Q96S94|Paneth cell-enhanced expression protein



P51956|Never in mitosis A-related kinase 3NimA-related protein kinase 3
P51956|HSPK 36
O95721|Soluble 29 kDa NSF attachment protein
O95721|Vesicle-membrane fusion protein SNAP-29
O14744|72 kDa ICln-binding protein
O14744|Histone-arginine N-methyltransferase PRMT5
O14744|Jak-binding protein 1
O14744|Shk1 kinase-binding protein 1 homologSKB1HsSKB1 homolog
O60674|Janus kinase 2JAK-2
P41597|Monocyte chemoattractant protein 1 receptorMCP-1-R
Q92888|115 kDa guanine nucleotide exchange factorp115-RhoGEFp115RhoGEF
Q92888|Sub1.5

Q9BQA1|p44/Mep50
Q9BQA1|WD repeat-containing protein 77
Q9BQA1|Androgen receptor cofactor p44
Q92879|RNA-binding protein BRUNOL-2
Q92879|Deadenylation factor CUG-BP
Q92879|CUG-BP- and ETR-3-like factor 1
Q92879|Embryo deadenylation element-binding protein homologEDEN-BP homolog
Q92879|Bruno-like protein 2
Q92879|50 kDa nuclear polyadenylated RNA-binding protein
Q92879|CUG triplet repeat RNA-binding protein 1CUG-BP1
O43791|HIB homolog 1
O43791|Roadkill homolog 1
Q03167|Transforming growth factor beta receptor IIITGF-beta receptor type III
Q03167|Betaglycan
Q9H3D4-2|Chronic ulcerative stomatitis proteinCUSP
Q9H3D4-2|Keratinocyte transcription factor KET
Q9H3D4-2|Transformation-related protein 63TP63
Q9H3D4-2|Tumor protein p73-likep73L
Q9H3D4-2|p40
Q9H3D4-2|p51

O60229|Huntingtin-associated protein-interacting protein
O60229|Protein Duo
O60229|Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain
P25685|Human DnaJ protein 1hDj-1
P25685|DnaJ protein homolog 1
P25685|Heat shock 40 kDa protein 1HSP40Heat shock protein 40
Q15382|Ras homolog enriched in brain
Q9UIK4|DAP-kinase-related protein 1DRP-1
P24723|PKC-L
P24723|nPKC-eta
P09211|GSTP1-1
P09211|GST class-pi

Q96BK5|TRF1-interacting protein 1
Q96BK5|Protein 67-11-3
Q96BK5|Pin2-interacting protein X1
Q96BK5|Liver-related putative tumor suppressor
O95613|Pericentrin-B
O95613|Kendrin

Q9Y6D9|Mitotic arrest deficient 1-like protein 1MAD1-like protein 1
Q9Y6D9|Mitotic checkpoint MAD1 protein homologHsMAD1hMAD1
Q9Y6D9|Tax-binding protein 181
Q15022|Chromatin precipitated E2F target 9 proteinChET 9 protein
Q15022|Suppressor of zeste 12 protein homolog
Q15022|Joined to JAZF1 protein
Q9BVS4|RIO kinase 2
O00139|Kinesin-2hK2
O60216|Nuclear matrix protein 1NXP-1
O60216|SCC1 homolog
Q9UJX3|Cyclosome subunit 7
O75170|SAPS domain family member 2
Q8TCG1|Cancerous inhibitor of PP2A
Q8TCG1|p90 autoantigen
Q9UBW7|Zinc finger protein 198
Q9UBW7|Fused in myeloproliferative disorders protein
Q9UBW7|Rearranged in atypical myeloproliferative disorder protein

Q3KR16|Myosin-interacting guanine nucleotide exchange factorMyoGEF
Q9NS56|RING-type E3 ubiquitin transferase Topors
Q9NS56|SUMO1-protein E3 ligase Topors
Q9NS56|Topoisomerase I-binding RING finger protein
Q9NS56|Topoisomerase I-binding arginine/serine-rich protein
Q9NS56|Tumor suppressor p53-binding protein 3p53BP3p53-binding protein 3
Q9BQQ3|Golgi peripheral membrane protein p65
Q9BQQ3|Golgi phosphoprotein 5GOLPH5
Q9BQQ3|Golgi reassembly-stacking protein of 65 kDaGRASP65
Q9UBB4|Brain protein E46 homolog
Q9UBB4|Spinocerebellar ataxia type 10 protein
Q13127|Neural-restrictive silencer factor
Q13127|X2 box repressor

Q15435|Protein phosphatase 1 regulatory subunit 22
Q6IBW4|Non-SMC condensin II complex subunit H2
Q6IBW4|Kleisin-beta
Q6IBW4|Chromosome-associated protein H2hCAP-H2
Q71F23|MLF1-interacting protein
Q71F23|Polo-box-interacting protein 1
Q71F23|Centromere protein of 50 kDaCENP-50
Q71F23|Interphase centromere complex protein 24
Q71F23|KSHV latent nuclear antigen-interacting protein 1
Q9Y266|Nuclear distribution protein C homolog

Q99640|Myt1 kinase
Q92994|B-related factor 1BRF-1hBRF
Q92994|TAF3B2
Q92994|TATA box-binding protein-associated factor, RNA polymerase III, subunit 2
O95425|Archvillin
O95425|p205/p250
Q9Y2Z0|Protein 40-6-3
Q9Y2Z0|Sgt1
Q9Y2Z0|Suppressor of G2 allele of SKP1 homolog
Q9Y265|49 kDa TATA box-binding protein-interacting protein49 kDa TBP-interacting protein
Q9Y265|54 kDa erythrocyte cytosolic proteinECP-54
Q9Y265|INO80 complex subunit H
Q9Y265|Nuclear matrix protein 238NMP 238
Q9Y265|Pontin 52
Q9Y265|TIP49a
Q9Y265|TIP60-associated protein 54-alphaTAP54-alpha
P30626|CP-22CP22
P30626|22 kDa protein
P30626|V19
Q2M2Z5|Polo-like kinase 1 substrate 1
Q15078|TPKII regulatory subunit
Q15078|Cyclin-dependent kinase 5 regulatory subunit 1
P14416|Dopamine D2 receptor
Q13136|Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1PTPRF-interacting protein alpha-1
Q13136|LAR-interacting protein 1LIP-1
Q8IWU2|Apoptosis-associated tyrosine kinase 2
Q8IWU2|Brain-enriched kinasehBREK
Q8IWU2|CDK5/p35-regulated kinaseCPRK
Q8IWU2|Lemur tyrosine kinase 2
Q8IWU2|Kinase/phosphatase/inhibitor 2
Q8IWU2|Serine/threonine-protein kinase KPI-2

Q13794|Immediate-early-response protein APR
Q13794|Protein Noxa
Q16643|Developmentally-regulated brain protein
Q99490-2|Centaurin-gamma-1Cnt-g1
Q99490-2|GTP-binding and GTPase-activating protein 2GGAP2
Q99490-2|Phosphatidylinositol 3-kinase enhancerPIKE
Q96KR7|Scaffold-associated PP1-inhibiting proteinScapinin
Q9UKV5|Autocrine motility factor receptorAMF receptor
Q9UKV5|RING finger protein 45
Q9UKV5|RING-type E3 ubiquitin transferase AMFR
Q9UKV5|gp78
P04156|PrP33-35C
P04156|ASCR
P04156|PrP27-30
Q13315|Ataxia telangiectasia mutatedA-T mutated
O15169|Axis inhibition protein 1hAxin

Q99719-2|Cell division control-related protein 1CDCrel-1
Q99719-2|Peanut-like protein 1
Q15833|Protein unc-18 homolog BUnc-18B
Q15833|Protein unc-18 homolog 2Unc18-2
Q99828|SNK-interacting protein 2-28SIP2-28
Q99828|Kinase-interacting proteinKIP
Q99828|Calmyrin
Q99828|DNA-PKcs-interacting protein
Q99828|Calcium- and integrin-binding proteinCIBP
P15976|GATA-binding factor 1GATA-1GF-1
P15976|NF-E1 DNA-binding protein
P15976|Eryf1
Q9P286|p21-activated kinase 5PAK-5
Q9P286|p21-activated kinase 7PAK-7
O95551|5'-tyrosyl-DNA phosphodiesterase5'-Tyr-DNA phosphodiesterase
O95551|ETS1-associated protein 2
O95551|ETS1-associated protein IIEAPII
O95551|TRAF and TNF receptor-associated protein
O95551|Tyrosyl-RNA phosphodiesterase
O95551|VPg unlinkase
O14936|Protein lin-2 homolog
O14936|Calcium/calmodulin-dependent serine protein kinase
P58400-1|Neurexin I-beta

Q9NVP2|Anti-silencing function protein 1 homolog BhAsf1hAsf1b
Q9NVP2|CCG1-interacting factor A-IICIA-IIhCIA-II
Q9Y294|Anti-silencing function protein 1 homolog AhAsf1hAsf1a
Q9Y294|CCG1-interacting factor ACIAhCIA
O15264|Stress-activated protein kinase 4
O15264|Mitogen-activated protein kinase p38 deltaMAP kinase p38 delta
Q9ULV5|Heat shock transcription factor 4HSTF 4
P56192|Methionyl-tRNA synthetaseMetRS
P07948|p56Lyn
P07948|p53Lyn
P07948|V-yes-1 Yamaguchi sarcoma viral related oncogene homolog
P07948|Lck/Yes-related novel protein tyrosine kinase
Q9UHP3|Deubiquitinating enzyme 25
Q9UHP3|Ubiquitin thioesterase 25
Q9UHP3|USP on chromosome 21
Q9UHP3|Ubiquitin-specific-processing protease 25
P61587|Protein MemB
P61587|Rnd3
P61587|Rho family GTPase 3
P61587|Rho-related GTP-binding protein Rho8
Q9NRY4|Glucocorticoid receptor DNA-binding factor 1
Q9NRY4|Glucocorticoid receptor repression factor 1GRF-1
Q9NRY4|Rho GAP p190Ap190-A
Q8N264|Filamin-A-associated RhoGAPFilGAP
Q8N264|RAC1- and CDC42-specific GTPase-activating protein of 72 kDaRC-GAP72
Q8N264|Rho-type GTPase-activating protein 24
Q8N264|RhoGAP of 73 kDa
Q8N264|Sarcoma antigen NY-SAR-88
Q8N264|p73RhoGAP
O60237|Myosin phosphatase-targeting subunit 2Myosin phosphatase target subunit 2
O43293|DAP-like kinaseDlk
O43293|MYPT1 kinase
O43293|Zipper-interacting protein kinaseZIP-kinase
Q9UPT6|Mitogen-activated protein kinase 8-interacting protein 3
Q9UPT6|JNK MAP kinase scaffold protein 3
Q01955|Goodpasture antigen
P32929|Cysteine-protein sulfhydrase
P32929|Gamma-cystathionase
P32298|ITI1
P32298|G protein-coupled receptor kinase GRK4
Q9BV73|250 kDa centrosomal proteinCep250
Q9BV73|Centrosomal Nek2-associated protein 1C-Nap1
Q9BV73|Centrosomal protein 2
P14618-2|Cytosolic thyroid hormone-binding proteinCTHBP
P14618-2|Opa-interacting protein 3OIP-3
P14618-2|Pyruvate kinase 2/3
P14618-2|Pyruvate kinase muscle isozyme
P14618-2|Thyroid hormone-binding protein 1THBP1
P14618-2|Tumor M2-PK
P14618-2|p58
P12814|Alpha-actinin cytoskeletal isoform
P12814|F-actin cross-linking protein
P12814|Non-muscle alpha-actinin-1
P23634-6|Matrix-remodeling-associated protein 1
P23634-6|Plasma membrane calcium ATPase isoform 4
P23634-6|Plasma membrane calcium pump isoform 4
Q14451|GRB7 adapter protein
Q14451|B47
Q14451|Epidermal growth factor receptor GRB-7
O75962|PTPRF-interacting protein
P54753|Tyrosine-protein kinase TYRO6
P54753|EPH-like tyrosine kinase 2EPH-like kinase 2
P54753|Embryonic kinase 2EK2hEK2
O95071|E3 ubiquitin-protein ligase, HECT domain-containing 1
O95071|HECT-type E3 ubiquitin transferase UBR5
O95071|Hyperplastic discs protein homologhHYD
O95071|Progestin-induced protein
Q2M1Z3|Cdc42 GTPase-activating protein

Q8TB45|DEP domain-containing protein 6
Q05195|Protein MAD
P78371|CCT-beta
Q53EL6|Protein 197/15a
Q53EL6|Neoplastic transformation inhibitor protein
Q53EL6|Nuclear antigen H731-like

Q9UBP6|Methyltransferase-like protein 1
Q9UBP6|mRNA (guanine-N(7)-)-methyltransferase
Q9UBP6|miRNA (guanine-N(7)-)-methyltransferase
Q9UBP6|tRNA (guanine(46)-N(7))-methyltransferase
Q9UBP6|tRNA(m7G46)-methyltransferase

P25101|Endothelin receptor type AETA-RhET-ARET-A


O95398-3|Exchange factor directly activated by cAMP 1
O95398-3|Exchange protein directly activated by cAMP 1EPAC 1
O95398-3|Rap1 guanine-nucleotide-exchange factor directly activated by cAMP
O95398-3|cAMP-regulated guanine nucleotide exchange factor IcAMP-GEFI

Q9Y2W7|DRE-antagonist modulatorDREAM
Q9Y2W7|A-type potassium channel modulatory protein 3
Q9Y2W7|Kv channel-interacting protein 3KChIP3
Q96A54|Progestin and adipoQ receptor family member 1
Q96A54|Progestin and adipoQ receptor family member I
P43246|MutS protein homolog 2
P52333|Leukocyte janus kinaseL-JAK
P52333|Janus kinase 3JAK-3
Q9H4E7|IRF4-binding protein
Q8TDQ0|T-cell immunoglobulin and mucin domain-containing protein 3TIMD-3
Q8TDQ0|T-cell immunoglobulin mucin receptor 3TIM-3
Q8TDQ0|T-cell membrane protein 3
P07947|Proto-oncogene c-Yes
P07947|p61-Yes
P08575|Leukocyte common antigenL-CA
P08575|T200
Q13163|MAPK/ERK kinase 5MEK 5
Q9P1Z0|KAISO-like zinc finger protein 1KAISO-L1
Q01196|Acute myeloid leukemia 1 protein
Q01196|Core-binding factor subunit alpha-2CBF-alpha-2
Q01196|Oncogene AML-1
Q01196|Polyomavirus enhancer-binding protein 2 alpha B subunitPEA2-alpha BPEBP2-alpha B
Q01196|SL3-3 enhancer factor 1 alpha B subunit
Q01196|SL3/AKV core-binding factor alpha B subunit
P57682|TEF-2
P57682|Basic krueppel-like factor
P57682|CACCC-box-binding protein BKLF
O15297|p53-induced protein phosphatase 1
O15297|Protein phosphatase magnesium-dependent 1 delta
O15297|Protein phosphatase 2C isoform deltaPP2C-delta
O00257|Chromobox protein homolog 4
O00257|Polycomb 2 homologPc2hPc2
Q9UL54|Thousand and one amino acid protein kinase 2
Q9UL54|Kinase from chicken homolog ChKFC-C
Q9UL54|Prostate-derived sterile 20-like kinase 1PSK-1PSK1Prostate-derived STE20-like kinase 1
P00441|Superoxide dismutase 1hSod1
P55199|Eleven-nineteen lysine-rich leukemia protein
Q9H8M2|Rhabdomyosarcoma antigen MU-RMS-40.8

Q9P2Y5|p63
P19484|Class E basic helix-loop-helix protein 35bHLHe35
Q9H4L4|SUMO-1-specific protease 3
Q9H4L4|Sentrin/SUMO-specific protease SENP3
Q8IYB3|SR-related nuclear matrix protein of 160 kDaSRm160
Q8IYB3|Ser/Arg-related nuclear matrix protein

Q9NQG5|Cell cycle-related and expression-elevated protein in tumor
Q9UPY5|Amino acid transport system xc-
Q9UPY5|xCT
Q9UPY5|Calcium channel blocker resistance protein CCBR1
Q9UPY5|Solute carrier family 7 member 11
Q86TB9|Protein PAT1 homolog bPat1bhPat1b
Q86TB9|PAT1-like protein 1
O96018|Adapter protein X11gamma
O96018|Neuron-specific X11L2 protein
O96018|Neuronal Munc18-1-interacting protein 3Mint-3
Q8NHG8|Protein Ells2
Q8NHG8|RING finger protein 202
Q8NHG8|RING-type E3 ubiquitin transferase ZNRF2
Q8NHG8|Zinc/RING finger protein 2
O95747|Oxidative stress-responsive 1 protein
Q9H1K1|NifU-like N-terminal domain-containing protein
Q9H1K1|NifU-like protein
Q9BRS8|La ribonucleoprotein domain family member 6
Q9BRS8|AcheronAchn
Q9BPZ7|Stress-activated map kinase-interacting protein 1SAPK-interacting protein 1mSIN1
Q9BPZ7|Mitogen-activated protein kinase 2-associated protein 1
Q9Y6W6|Mitogen-activated protein kinase phosphatase 5MKP-5MAP kinase phosphatase 5

Q5T4S7|600 kDa retinoblastoma protein-associated factor
Q5T4S7|N-recognin-4
Q5T4S7|RING-type E3 ubiquitin transferase UBR4
Q5T4S7|Retinoblastoma-associated factor of 600 kDap600RBAF600
Q5T4S7|Zinc finger UBR1-type protein 1


Q9Y2J4|Leman coiled-coil proteinLCCP
O95235|Rabkinesin-6
O95235|Rab6-interacting kinesin-like protein
O95235|GG10_2
O95235|Mitotic kinesin-like protein 2MKlp2
Q08345|Protein-tyrosine kinase 3A
Q08345|Protein-tyrosine kinase RTK-6
Q08345|Mammary carcinoma kinase 10MCK-10
Q08345|Tyrosine-protein kinase CAK
Q08345|TRK E
Q08345|Tyrosine kinase DDR
Q08345|Discoidin receptor tyrosine kinase
Q08345|HGK2
Q08345|CD167 antigen-like family member A
Q08345|Cell adhesion kinase
Q96AP0|POT1 and TIN2-interacting protein
P55316|Brain factor 2BF-2BF2hBF-2
P55316|Forkhead-related protein FKHL3HFK3
P55316|Brain factor 1BF-1BF1
P55316|Forkhead-related protein FKHL1HFK1
P55316|Forkhead box protein G1C
P55316|Forkhead-related protein FKHL2HFK2
P55316|Forkhead box protein G1B
P55316|Forkhead box protein G1A
P98177|Fork head domain transcription factor AFX1

Q12968|NFATx
Q12968|T-cell transcription factor NFAT4NF-AT4cNF-AT4
Q6IE81|Jade family PHD finger protein 1
Q6IE81|PHD finger protein 17
Q9NRF8|UTP--ammonia ligase 2
Q9NRF8|CTP synthetase 2
P62745|Rho cDNA clone 6h6
Q9H6E5|RNA-binding motif protein 21RNA-binding protein 21
Q9H6E5|U6 snRNA-specific terminal uridylyltransferase 1U6-TUTase
P56537|B(2)GCN homolog
P56537|B4 integrin interactor
P56537|CAB
P56537|p27(BBP)

O14503|Class B basic helix-loop-helix protein 2bHLHb2
O14503|Differentially expressed in chondrocytes protein 1DEC1
O14503|Enhancer-of-split and hairy-related protein 2SHARP-2
O14503|Stimulated by retinoic acid gene 13 protein
Q5VWQ8|ASK-interacting protein 1AIP-1
Q5VWQ8|DOC-2/DAB-2 interactive protein
P46379|BAG family molecular chaperone regulator 6
P46379|BCL2-associated athanogene 6BAG-6
P46379|HLA-B-associated transcript 3
P46379|Protein G3
P46379|Protein Scythe
O75449|p60 katanin
P43686|26S proteasome AAA-ATPase subunit RPT3
P43686|MB67-interacting protein
P43686|MIP224
P43686|Proteasome 26S subunit ATPase 4
P43686|Tat-binding protein 7TBP-7

Q12834|p55CDC
Q9HAW7|UDP-glucuronosyltransferase 1-GUGT-1GUGT1G
Q9HAW7|UDP-glucuronosyltransferase 1A7
O75689|Centaurin-alpha-1Cnt-a1
O75689|Putative MAPK-activating protein PM25
Q86XR7|Putative NF-kappa-B-activating protein 502
Q86XR7|Toll/interleukin-1 receptor domain-containing proteinMyD88-4
Q86XR7|TRIF-related adapter molecule
Q86XR7|Toll-like receptor adaptor protein 3
Q14145|Cytosolic inhibitor of Nrf2INrf2
Q14145|Kelch-like protein 19
P04899|Adenylate cyclase-inhibiting G alpha protein
O94925-3|K-glutaminase
O94925-3|L-glutamine amidohydrolase
P46940|p195
P05091|ALDH-E2
P05091|ALDH class 2
P05091|ALDHI
P23975|Norepinephrine transporterNET
P23975|Solute carrier family 6 member 2
Q5JXC2|Invasion-inhibitory protein 45IIp45
Q5JXC2|IGFBP2-binding protein
Q16612|Protein p311
Q16612|Neuronal protein 3.1

Q7L9L4|Mob1B
Q7L9L4|Mps one binder kinase activator-like 1A
Q7L9L4|Mob1 homolog 1AMob1A
Q9H4B6|45 kDa WW domain proteinhWW45
Q9H8S9|Mob1 alphaMob1A
Q9H8S9|Mob1 homolog 1B
Q9H8S9|Mps one binder kinase activator-like 1B
P51955|NimA-like protein kinase 1
P51955|Never in mitosis A-related kinase 2NimA-related protein kinase 2
P51955|HSPK 21
O00161|Vesicle-membrane fusion protein SNAP-23

P42771|Cyclin-dependent kinase 4 inhibitor ACDK4I
P42771|Multiple tumor suppressor 1MTS-1
P42771|p16-INK4ap16INK4Ap16-INK4
Q8WVB6|CHL12
Q9Y248|GINS complex subunit 2
Q9Y285|CML33
Q9Y285|Phenylalanyl-tRNA synthetase alpha subunitPheRS
Q9UFW8|p20-CGGBP DNA-binding protein
Q9UFW8|20 kDa CGG-binding protein
Q8IYD8|ATP-dependent RNA helicase FANCM
Q8IYD8|Fanconi anemia-associated polypeptide of 250 kDaFAAP250
Q8IYD8|Protein Hef ortholog
Q9NZC9|HepA-related proteinhHARP
Q9NZC9|Sucrose nonfermenting protein 2-like 1
Q14683|Sb1.8
Q8IX01|Arginine/serine-rich-splicing factor 14
Q8IX01|Splicing factor, arginine/serine-rich 14
O75943|RF-C/activator 1 homolog
Q03164|ALL-1
Q03164|CXXC-type zinc finger protein 7
Q03164|Myeloid/lymphoid or mixed-lineage leukemia
Q03164|Myeloid/lymphoid or mixed-lineage leukemia protein 1
Q03164|Trithorax-like protein
Q03164|Zinc finger protein HRX
Q7Z6Z7|ARF-binding protein 1ARF-BP1
Q7Z6Z7|HECT, UBA and WWE domain-containing protein 1
Q7Z6Z7|HECT-type E3 ubiquitin transferase HUWE1
Q7Z6Z7|Homologous to E6AP carboxyl terminus homologous protein 9HectH9
Q7Z6Z7|Large structure of UREB1LASU1
Q7Z6Z7|Mcl-1 ubiquitin ligase E3Mule
Q7Z6Z7|Upstream regulatory element-binding protein 1URE-B1URE-binding protein 1
Q9NZN8|CCR4-associated factor 2
Q9BUG6|Zinc finger protein 495


Q13098|G protein pathway suppressor 1GPS-1
Q13098|JAB1-containing signalosome subunit 1
Q13098|Protein MFH
O43542|X-ray repair cross-complementing protein 3
P40692|MutL protein homolog 1
Q8TAQ2|BRG1-associated factor 170BAF170
Q8TAQ2|SWI/SNF complex 170 kDa subunit
Q8TAQ2|SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2
Q8N163|Deleted in breast cancer gene 1 proteinDBC-1DBC.1
Q8N163|NET35
Q8N163|Cell division cycle and apoptosis regulator protein 2
Q8N163|DBIRD complex subunit KIAA1967
Q8N163|p30 DBC
P49006|Macrophage myristoylated alanine-rich C kinase substrateMac-MARCKSMacMARCKS
P49006|MARCKS-like protein 1
Q92673|Low-density lipoprotein receptor relative with 11 ligand-binding repeatsLR11LDLR relative with 11 ligand-binding repeats
Q92673|SorLA-1
Q92673|Sorting protein-related receptor containing LDLR class A repeatsSorLA
O75116|Rho-associated, coiled-coil-containing protein kinase 2
O75116|Rho kinase 2
O75116|Rho-associated, coiled-coil-containing protein kinase IIROCK-II
O75116|p164 ROCK-2
Q99962|Endophilin-1
Q99962|EEN-B1
Q99962|SH3 domain-containing GRB2-like protein 2
Q99962|SH3 domain protein 2A
O15111|Transcription factor 16TCF-16
O15111|Nuclear factor NF-kappa-B inhibitor kinase alphaNFKBIKA
O15111|Conserved helix-loop-helix ubiquitous kinase
O15111|I-kappa-B kinase 1IKK1
Q9BYV9|BTB and CNC homolog 2

Q16873|Leukotriene-C(4) synthase
Q09161|80 kDa nuclear cap-binding proteinCBP80NCBP 80 kDa subunit
Q9GZT9|Hypoxia-inducible factor prolyl hydroxylase 2HIF-prolyl hydroxylase 2HPH-2HIF-PH2
Q9GZT9|Prolyl hydroxylase domain-containing protein 2PHD2
Q9GZT9|SM-20
P33778|Histone H2B.1
P33778|Histone H2B.fH2B/f
Q96QT4|Long transient receptor potential channel 7LTrpC-7LTrpC7
Q96QT4|Channel-kinase 1
P28289|Erythrocyte tropomodulinE-Tmod
Q12866|Receptor tyrosine kinase MerTK
Q12866|Proto-oncogene c-Mer
Q9BY11|Syndapin-1
P36871|Glucose phosphomutase 1

P19086|G(x) alpha chain
P19086|Gz-alpha
Q13418|ILK-1
Q13418|ILK-2
Q13418|59 kDa serine/threonine-protein kinase
Q13418|p59ILK
Q13233|MAPK/ERK kinase kinase 1MEK kinase 1MEKK 1
Q99426|Cytoskeleton-associated protein 1
Q99426|Tubulin-specific chaperone B
Q99426|Cytoskeleton-associated protein CKAPI
P18669|BPG-dependent PGAM 1
P18669|Phosphoglycerate mutase isozyme BPGAM-B
Q9Y6X9|MORC family CW-type zinc finger protein 2
Q9Y6X9|Zinc finger CW-type coiled-coil domain protein 1
Q15365|Nucleic acid-binding protein SUB2.3
Q15365|Heterogeneous nuclear ribonucleoprotein E1hnRNP E1
Q15365|Alpha-CP1
P63167|Dynein light chain LC8-type 1
P63167|Protein inhibitor of neuronal nitric oxide synthasePIN
P63167|8 kDa dynein light chainDLC8
Q70Z35|DEP domain-containing protein 2
Q8IYU2|HECT domain and ankyrin repeat-containing E3 ubiquitin-protein ligase 1
Q8IYU2|HECT-type E3 ubiquitin transferase HACE1

