uniprot_id|name|short



P16104|Histone H2A.X
Q96EY5|ESCRT-I complex subunit MVB12A
Q96EY5|Protein FAM125A






Q9H1K0|110 kDa protein
Q9H1K0|FYVE finger-containing Rab5 effector protein rabenosyn-5
Q9H1K0|RAB effector RBSN
Q9H1K0|Zinc finger FYVE domain-containing protein 20
Q7Z5R6|Retinoic acid-responsive proline-rich protein 1RARP-1
Q7Z5R6|Rap1-GTP-interacting adapter moleculeRIAM
Q7Z5R6|Proline-rich protein 73
Q7Z5R6|Proline-rich EVH1 ligand 1PREL-1
Q7Z5R6|APBB1-interacting protein 1
Q13118|EGR-alpha
Q13118|Transforming growth factor-beta-inducible early growth response protein 1TGFB-inducible early growth response protein 1TIEG-1






Q6P3S6|Just one F-box and Kelch domain-containing protein



Q96L96|Muscle alpha-protein kinase



Q9NVM9|Cell cycle regulator Mat89Bb homolog
Q9NVM9|Germ cell tumor 1
Q9NVM9|Protein asunder homolog
Q9NVM9|Sarcoma antigen NY-SAR-95
Q6PJG2|MIDEAS
Q9Y5B6|GC-rich sequence DNA-binding factor 1
Q9NQ75|HEF-like protein
Q9NQ75|HEF1-EFS-p130Cas-like proteinHEPL
Q8N111|BM88 antigen


P78310|Coxsackievirus B-adenovirus receptor
P78310|CVB3-binding protein
P78310|HCVADR
Q5M775|Sperm antigen with calponin homology and coiled-coil domains 1
Q5M775|Nuclear structure protein 5NSP5
Q5M775|Sperm antigen HCMOGT-1
A0A087WYN9|DEAH box protein 29











Q9NP74|Paralemmin-like protein






Q6ZSZ6|Antigen NY-CO-33
Q6ZSZ6|Serologically defined colon cancer antigen 33

Q96A49|BSD domain-containing signal transducer and Akt interactor proteinBSTA



O60296|Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 3 protein


Q6EMK4|Protein slit-like 2

Q8WWQ0|DDB1- and CUL4-associated factor 14
Q8WWQ0|IRS-1 PH domain-binding protein
Q8WWQ0|WD repeat-containing protein 11



Q9Y5A9|CLL-associated antigen KW-14
Q9Y5A9|High-glucose-regulated protein 8
Q9Y5A9|Renal carcinoma antigen NY-REN-2







P51582|P2P
P51582|Uridine nucleotide receptorUNR


Q8WXX5|DnaJ protein SB73
Q6KB66|Keratin-80K80
Q6KB66|Type-II keratin Kb20
Q6KB66|Cytokeratin-80CK-80






Q9UHK0|Nuclear FMRP-interacting protein 1

O00264|Dap1
O00264|IZA
P28290|Cleavage signal-1 proteinCS-1
P28290|ITPR-interacting domain-containing protein 2
P28290|Ki-ras-induced actin-interacting protein
P28290|Sperm-specific antigen 2



Q9BTL3|Protein FAM103A1
Q9BTL3|RNA guanine-7 methyltransferase activating subunit
Q9BTL3|RNMT-activating mRNA cap methyltransferase subunit
Q9BTL3|RNMT-activating mini proteinRAM








Q8NI35|Channel-interacting PDZ domain-containing protein
Q8NI35|Pals1-associated tight junction protein
Q8NI35|Protein associated to tight junctions



Q96DF8|DiGeorge syndrome critical region 13
Q96DF8|DiGeorge syndrome critical region 14
Q96DF8|DiGeorge syndrome protein HDGS-H
Q96DF8|Protein ES2


Q9H814|RNA U small nuclear RNA export adapter protein


O94910|Calcium-independent alpha-latrotoxin receptor 1CIRL-1
O94910|Latrophilin-1
O94910|Lectomedin-2













P16383|Transcription factor 9TCF-9
P16383|GC-rich sequence DNA-binding factor





Q5T3J3|HP1-binding protein enriched in inactive X chromosome protein 1HBiX1
Q5T3J3|Receptor-interacting factor 1
Q15776|LD5-1
Q15776|Zinc finger protein 192










Q9Y6X3|Cohesin loading complex subunit SCC4 homolog

Q5TAH2|Na(+)/H(+) exchanger 11NHE-11
Q5TAH2|Solute carrier family 9 member C2
Q5TAH2|Solute carrier family 9 member 11

Q14520|Hepatocyte growth factor activator-like protein
Q14520|Plasma hyaluronan-binding protein
Q14520|Factor VII-activating protease
Q14520|Factor seven-activating proteaseFSAP
Q7Z333|Amyotrophic lateral sclerosis 4 protein
Q7Z333|SEN1 homolog
Q7Z333|Senataxin



Q9Y6J6|Potassium channel subunit beta MiRP1
Q9Y6J6|Minimum potassium ion channel-related peptide 1
Q9Y6J6|MinK-related peptide 1

Q8IX15|Homeodomain leucine zipper-containing factor





P00352|ALDH-E1
P00352|ALHDII
P00352|Aldehyde dehydrogenase family 1 member A1
P00352|Aldehyde dehydrogenase, cytosolic


P28356|Homeobox protein Hox-5.2
P28356|Homeobox protein Hox-4C







A4D1E9|Protein obg homolog 2ObgH2












P30050|Large ribosomal subunit protein uL11










Q15056|Williams-Beuren syndrome chromosomal region 1 protein



Q2M389|Strumpellin and WASH-interacting proteinSWIP
Q2M389|WASH complex subunit SWIP





P57682|TEF-2
P57682|Basic krueppel-like factor
P57682|CACCC-box-binding protein BKLF
Q9UBU6|Autosomal highly conserved protein


O00479|Non-histone chromosomal protein HMG-17-like 3Non-histone chromosomal protein









O14613|Binder of Rho GTPases 1




A2RU30|Thymocyte-expressed positive selection-associated protein 1

Q9NQG6|Mitochondrial elongation factor 1
Q9NQG6|Mitochondrial dynamics protein of 51 kDa
Q9NQG6|Smith-Magenis syndrome chromosomal region candidate gene 7 protein-likeSMCR7-like protein







Q9Y4B6|HIV-1 Vpr-binding proteinVprBP
Q9Y4B6|Serine/threonine-protein kinase VPRBP
Q9Y4B6|Vpr-interacting protein
Q8WTT2|Factor for adipocyte differentiation 24
Q8WTT2|NOC3-like protein
Q8WTT2|Nucleolar complex-associated protein 3-like protein


Q15699|Cartilage homeoprotein 1CART-1








Q96AD5|Adipose triglyceride lipase
Q96AD5|Calcium-independent phospholipase A2
Q96AD5|Desnutrin
Q96AD5|IPLA2-zeta
Q96AD5|Pigment epithelium-derived factor
Q96AD5|TTS2.2
Q96AD5|Transport-secretion protein 2TTS2




O94826|Mitochondrial precursor proteins import receptor
O94826|Translocase of outer membrane 70 kDa subunit
O94826|Translocase of outer mitochondrial membrane protein 70
Q86TB9|Protein PAT1 homolog bPat1bhPat1b
Q86TB9|PAT1-like protein 1



P55058|Lipid transfer protein II
P07814|Bifunctional aminoacyl-tRNA synthetase
P07814|Cell proliferation-inducing gene 32 protein
P07814|Glutamatyl-prolyl-tRNA synthetase
O76027|Pemphaxin
O76027|Annexin XXXI
O76027|Annexin-31
O76027|Annexin-9


A1A4S6|Rho-type GTPase-activating protein 10
A1A4S6|Graf-related protein 2
A1A4S6|GTPase regulator associated with focal adhesion kinase 2







O95476|Serine/threonine-protein phosphatase dullard


Q9NZ63|Hepatocellular carcinoma-associated antigen 59
P54868|3-hydroxy-3-methylglutaryl coenzyme A synthase

Q9Y696|Intracellular chloride ion channel protein p64H1



P20719|Homeobox protein Hox-1C


Q9Y4P8|WIPI49-like protein 2
Q6ZMZ3|KASH domain-containing protein 3KASH3
Q6ZMZ3|Nuclear envelope spectrin repeat protein 3






Q9ULK5|Van Gogh-like protein 2
Q9ULK5|Strabismus 1
Q9ULK5|Loop-tail protein 1 homolog



Q7Z6R9|Transcription factor AP-2-beta-like 1
Q7Z6R9|Activating enhancer-binding protein 2-delta





















Q9Y264|Angiopoietin-3ANG-3
P49207|Large ribosomal subunit protein eL34
Q9H1K6|Mesoderm development candidate 1








Q9H4Z2|NRC-interacting factor 1NIF-1

O43164|RING finger protein 131
O43164|RING-type E3 ubiquitin transferase Praja-2


Q9Y623|Myosin heavy chain, skeletal muscle, fetal
Q9Y623|Myosin heavy chain IIbMyHC-IIb
Q9Y623|Myosin heavy chain 4
Q9Y623|Myosin heavy chain 2bMyHC-2b



















P40425|Homeobox protein PBX2
P40425|Protein G17



Q9UKB5|Membrane protein shrew-1
Q7Z5L4|Spermatogenic cell-specific gene 1 proteinSpergen-1









Q92570|Nuclear hormone receptor NOR-1
Q92570|Neuron-derived orphan receptor 1
Q92570|Mitogen-induced nuclear orphan receptor






Q9UPN6|CDC5L complex-associated protein 7
Q9UPN6|RNA-binding motif protein 16




Q53F19|Protein ELG
O43865|DC-expressed AHCY-like molecule
O43865|IP(3)Rs binding protein released with IP(3)IRBIT
O43865|Putative adenosylhomocysteinase 2
O43865|S-adenosyl-L-homocysteine hydrolase 2AdoHcyase 2








Q86X02|Paraneoplastic 62 kDa antigen
Q5T7V8|N-terminal kinase-like-binding protein 1NTKL-BP1NTKL-binding protein 1hNTKL-BP1
Q5T7V8|SCY1-like 1-binding protein 1SCYL1-BP1SCYL1-binding protein 1



Q12872|Suppressor of white apricot protein homolog
Q12872|Splicing factor, arginine/serine-rich 8
P53367|ADP-ribosylation factor-interacting protein 1
O75475|Lens epithelium-derived growth factor
O75475|Transcriptional coactivator p75/p52
O75475|CLL-associated antigen KW-7
O75475|Dense fine speckles 70 kDa proteinDFS 70






Q6ZNB6|Ovarian zinc finger proteinhOZFP











Q9NUQ3|Environmental lipopolysaccharide-responding gene protein
Q9NUQ3|Factor inhibiting ATF4-mediated transcriptionFIAT
Q9NUQ3|Lipopolysaccharide-specific response protein 5




A0A0U1RRL7|MMP24 opposite strand



P23946|Mast cell protease I
P23946|Alpha-chymase
Q96N21|ENTH domain-containing protein 2
Q96N21|Epsin for AP-4
Q96N21|Tetra-epsin

A4D2P6|Glutamate receptor, ionotropic, delta 2-interacting protein 1






P50991|Stimulator of TAR RNA-binding
P50991|CCT-delta


Q9NWK9|Zinc finger HIT domain-containing protein 6
Q9NWK9|Serologically defined breast cancer antigen NY-BR-75



O75628|GTPase-regulating endothelial cell sprouting
O75628|Rad and Gem-like GTP-binding protein 1
Q9UEE5|DAP kinase-related apoptosis-inducing protein kinase 1


Q96G23|LAG1 longevity assurance homolog 2
Q96G23|SP260
Q96G23|Sphingosine N-acyltransferase CERS2
Q96G23|Tumor metastasis-suppressor gene 1 protein
Q96JS3|Cerebral protein 4



Q9Y4W2|Protein LAS1 homolog


Q5VSL9|Protein FAM40A

P62854|Small ribosomal subunit protein eS26
Q9NS69|Translocase of outer membrane 22 kDa subunit homolog
Q9NS69|1C9-2



Q7Z418|TWIK-related spinal cord potassium channel
Q7Z418|TWIK-related individual potassium channel

P18669|BPG-dependent PGAM 1
P18669|Phosphoglycerate mutase isozyme BPGAM-B









Q9H8S9|Mob1 alphaMob1A
Q9H8S9|Mob1 homolog 1B
Q9H8S9|Mps one binder kinase activator-like 1B





O75508|Oligodendrocyte-specific protein



O75554|Formin-binding protein 21
O75554|WW domain-containing-binding protein 4












Q9UMX6|Guanylate cyclase activator 1B










Q6UX71|Tumor endothelial marker 7-related protein








Q9UKX3|Superfast myosin
Q9UKX3|Myosin heavy chain, skeletal muscle, laryngealMyHC-IIL
Q9UKX3|Myosin heavy chain, skeletal muscle, extraocularMyHC-EO
Q9UKX3|Myosin heavy chain 13



O60551|Myristoyl-CoA:protein N-myristoyltransferase 2NMT 2
O60551|Peptide N-myristoyltransferase 2
O60551|Type II N-myristoyltransferase





O60524|Antigen NY-CO-1
O60524|Serologically defined colon cancer antigen 1
Q9NVW2|LIM domain-interacting RING finger protein
Q9NVW2|RING finger LIM domain-binding proteinR-LIM
Q9NVW2|RING finger protein 12
Q9NVW2|RING-type E3 ubiquitin transferase RLIM
Q9NVW2|Renal carcinoma antigen NY-REN-43
O43818|RRP9 homolog
O43818|U3 small nucleolar ribonucleoprotein-associated 55 kDa proteinU3 snoRNP-associated 55 kDa proteinU3-55K


O60337|Doa10 homolog
O60337|Membrane-associated RING finger protein 6
O60337|Membrane-associated RING-CH protein VIMARCH-VI
O60337|Protein TEB-4
O60337|RING finger protein 176
O60337|RING-type E3 ubiquitin transferase MARCH6
O43236|CE5B3 beta
O43236|Brain protein H5
O43236|Cell division control-related protein 2hCDCREL-2
O43236|Peanut-like protein 2
O43236|Cerebral protein 7
O43236|Apoptosis-related protein in the TGF-beta signaling pathwayARTS
O43236|Bradeion beta


P28288|70 kDa peroxisomal membrane proteinPMP70



Q562R1|Kappa-actin


Q9P1U1|Actin-like protein 3B
Q9P1U1|Actin-related protein ARP4
Q9P1U1|ARP3-beta






P51816|Fragile X E mental retardation syndrome protein
P51816|Fragile X mental retardation 2 proteinFMR2PProtein FMR-2
P51816|Protein Ox19


C9JRZ8|Estradiol 17-beta-dehydrogenase AKR1B15
C9JRZ8|Farnesol dehydrogenase
C9JRZ8|Testosterone 17beta-dehydrogenase

P49189-3|Aldehyde dehydrogenase E3 isozyme
P49189-3|Aldehyde dehydrogenase family 9 member A1
P49189-3|Gamma-aminobutyraldehyde dehydrogenase
P49189-3|R-aminobutyraldehyde dehydrogenase

Q53TS8|Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 11 protein
Q8N187|Calcium-response factorCaRF
Q8N187|Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein
Q8N187|Testis development protein NYD-SP24


Q9UJ72|Annexin-10
Q9UJ72|Annexin-14



B4DK25|Arginine-tRNA--protein transferase 1


O96024|Gal-T2
O96024|Ganglioside galactosyltransferase
O96024|UDP-galactose:beta-N-acetyl-galactosamine-beta-1,3-galactosyltransferase





Q8TDN6|Brix domain-containing protein 2

Q7Z3E2|CTCL tumor antigen HD-CL-01/L14-2
Q9H7M9|Platelet receptor Gi24
Q9H7M9|Stress-induced secreted protein-1Sisp-1
Q9H7M9|V-set domain-containing immunoregulatory receptor
Q9H7M9|V-set immunoregulatory receptor



Q86UD0|Tumor specificity and mitosis phase-dependent expression proteinTS/MDEP
Q86UD0|p42.3

Q86V35|Calneuron-2
Q86V35|Calneuron II






Q96KX2|CapZ alpha-3CP-alpha-3
Q96KX2|Germ cell-specific protein 3
P40227|Acute morphine dependence-related protein 2
P40227|CCT-zeta-1
P40227|HTR3
P40227|Tcp20




Q9NPY3|CDw93
Q9NPY3|Complement component 1 q subcomponent receptor 1
Q9NPY3|Matrix-remodeling-associated protein 4
Q9NPY3|C1q/MBL/SPA receptorC1qRC1qR(p)C1qRp







Q9GZX3|Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-betaGST4-beta
Q9GZX3|N-acetylglucosamine 6-O-sulfotransferase 5GlcNAc6ST-5Gn6st-5
Q9GZX3|Corneal N-acetylglucosamine-6-O-sulfotransferaseC-GlcNAc6SThCGn6ST
Q9NS84|Chondroitin 6-sulfotransferase 2C6ST-2
Q9NS84|Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 5GST-5
Q9NS84|N-acetylglucosamine 6-O-sulfotransferase 4GlcNAc6ST-4Gn6st-4


A6NM45|Claudin-21


Q16280|Cyclic nucleotide-gated channel alpha-2CNG channel alpha-2CNG-2CNG2
Q16280|Cyclic nucleotide-gated cation channel 2

Q9P232|Brain-derived immunoglobulin superfamily protein 1BIG-1
Q9P232|Plasmacytoma-associated neuronal glycoprotein



P50238|Cysteine-rich intestinal proteinCRIP
P50238|Cysteine-rich heart proteinCRHPhCRHP
P07316|Gamma-B-crystallin
P07316|Gamma-crystallin 1-2
P07315|Gamma-crystallin 3
P07315|Gamma-crystallin 2-1
P07315|Gamma-C-crystallin
Q8N752|CK1


P01037|Cystatin-1
P01037|Cystain-SA-I
P01037|Salivary cystatin-SA-1

A0PJW8|Early epithelial differentiation-associated protein


O60443|Inversely correlated with estrogen receptor expression 1ICERE-1
O60443|Non-syndromic hearing impairment protein 5




Q8WZ79|DNase II-like acid DNase
Q8WZ79|DNase2-like acid DNase
Q8WZ79|Deoxyribonuclease II betaDNase II beta
Q8WZ79|Endonuclease DLAD
Q8IYX4|RNA-binding motif, single-stranded-interacting protein 4
Q8TDB6|B-lymphoma- and BAL-associated protein
Q8TDB6|Protein deltex-3-like
Q8TDB6|RING-type E3 ubiquitin transferase DTX3L
Q8TDB6|Rhysin-2Rhysin2

O94769|Matrix glycoprotein SC1/ECM2
O60869|Multiprotein-bridging factor 1MBF1
O43281|Cas scaffolding protein family member 3
B0QY89|Eukaryotic translation initiation factor 3 subunit E-interacting protein
B0QY89|Eukaryotic translation initiation factor 3 subunit 6-interacting protein




Q9H329|Protein EHM2
Q9H329|FERM-containing protein CG1







Q15018|Abraxas brother protein 1
Q15018|Protein FAM175B

Q9H7U1|Coiled-coil serine-rich protein 2
Q9H7U1|Protein GCAP14 homolog


Q86UY5|Tumor antigen BJ-TSA-9
Q86UY5|Tumor-specific gene expressed in prostate protein



O00757|Muscle FBPase
O00757|D-fructose-1,6-bisphosphate 1-phosphohydrolase 2



O14842|G-protein coupled receptor 40


P49356|Ras proteins prenyltransferase subunit beta
P49356|CAAX farnesyltransferase subunit beta

Q12951|Hepatocyte nuclear factor 3 forkhead homolog 3HFH-3HNF-3/fork-head homolog 3
Q12951|Forkhead-related transcription factor 6FREAC-6
Q12951|Forkhead-related protein FKHL10

P19526|Alpha(1,2)FT 1
P19526|Blood group H alpha 2-fucosyltransferase
P19526|Fucosyltransferase 1
P19526|GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 1

Q13467|FzE5

O76087|Cancer/testis antigen 4.7CT4.7
O76087|AL4
O76087|GAGE-8
O76087|GAGE-12I
O76087|GAGE-7B



Q8N6F7|Germinal center B-cell-expressed transcript 2 protein
Q8N6F7|Germinal center-associated lymphoma proteinhGAL
O75603|GCM motif protein 2
O75603|Glial cells missing homolog 2



P01286|Somatorelin
P01286|Somatocrinin
P01286|Growth hormone-releasing factorGRF
P01286|Growth hormone-releasing hormoneGHRH

Q01415|GalNAc kinase
Q01415|Galactokinase 2


O60547|GDP-D-mannose dehydrataseGMD








Q13003|Glutamate receptor 7GluR-7GluR7
Q13003|Excitatory amino acid receptor 5EAA5








P58876|Histone H2B.1 B
P58876|Histone H2B.bH2B/b
P58876|HIRA-interacting protein 2
Q99880|Histone H2B.cH2B/c
P31942|Heterogeneous nuclear ribonucleoprotein 2H9hnRNP 2H9
P31260|Homeobox protein Hox-1H
P31260|PL
P31260|Homeobox protein Hox-1.8
P52758|14.5 kDa translational inhibitor proteinp14.5hp14.5
P52758|Heat-responsive protein 12
P52758|Reactive intermediate imine deaminase A homolog
P52758|Translation inhibitor L-PSP ribonuclease
P52758|UK114 antigen homolog
P34931|Heat shock 70 kDa protein 1-HomHSP70-Hom
Q13325|Interferon-induced 58 kDa protein
Q13325|Retinoic acid- and interferon-inducible 58 kDa proteinP58

Q9NZI8|Coding region determinant-binding proteinCRD-BP
Q9NZI8|IGF-II mRNA-binding protein 1
Q9NZI8|VICKZ family member 1
Q9NZI8|Zipcode-binding protein 1ZBP-1
Q96F46|CDw217










Q9H3M0|Voltage-gated potassium channel subunit Kv5.1
Q9H3M0|kH1

Q9Y4F3|Limkain-b1
Q9Y4F3|Meiosis arrest female protein 1
Q92845|Smg GDS-associated protein


Q8NEP7|Kelch/ankyrin repeat-containing cyclin A1-interacting protein





Q13571|Lysosomal-associated multitransmembrane protein 5
Q13571|Retinoic acid-inducible E3 protein




P25791|Cysteine-rich protein TTG-2
P25791|LIM domain only protein 2LMO-2
P25791|T-cell translocation protein 2


Q8NEP3|Leucine-rich repeat-containing protein 50





Q9UBF1|Hepatocellular carcinoma-associated antigen 587
Q9UBF1|Cancer/testis antigen 10CT10
Q9UBF1|MAGE-E1 antigen
Q9UBF1|MAGE-C2 antigen











P11055|SMHCE
P11055|Myosin heavy chain, fast skeletal muscle, embryonic
P11055|Myosin heavy chain 3
P11055|Muscle embryonic myosin heavy chain
P13535|Myosin heavy chain, skeletal muscle, perinatalMyHC-perinatal
P13535|Myosin heavy chain 8

Q7Z3B1|IgLON family member 4


Q86W28|PYRIN and NACHT-containing protein 4
Q86W28|Nucleotide-binding oligomerization domain protein 16


Q5C9Z4|SGD1 homolog
Q8IUM7|Class E basic helix-loop-helix protein 79bHLHe79
Q8IUM7|HLH-PAS transcription factor NXF
Q8IUM7|PAS domain-containing protein 10




O95989|Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 1
O95989|Nucleoside diphosphate-linked moiety X motif 3Nudix motif 3

Q9NT68|Protein Odd Oz/ten-m homolog 2
Q9NT68|Tenascin-M2Ten-m2
Q9NT68|Teneurin transmembrane protein 2




Q9BXP8|Pregnancy-associated plasma protein A2PAPP-A2
Q9BXP8|Pregnancy-associated plasma protein E1PAPP-E



Q5EBL8|Plasma membrane calcium ATPase-interacting single-PDZ proteinPMCA-interacting single-PDZ protein
Q5EBL8|ATPase-interacting PDZ protein

Q7RTV0|Splicing factor 3B-associated 14 kDa proteinSF3b14b
Q9NRX4|Phosphohistidine phosphatase 1PHPT1
Q9NRX4|Protein histidine phosphatasePHP
Q9NRX4|Protein janus-A homolog


P61925|cAMP-dependent protein kinase inhibitor, muscle/brain isoform






Q5XG87-2|DNA polymerase sigma
Q5XG87-2|LAK-1
Q5XG87-2|Non-canonical poly(A) RNA polymerase PAPD7
Q5XG87-2|PAP-associated domain-containing protein 7
Q5XG87-2|TRAMP-like complex polyadenylate polymerase
Q5XG87-2|Terminal guanylyltransferase
Q5XG87-2|Terminal uridylyltransferase 5TUTase 5
Q5XG87-2|Topoisomerase-related function protein 4-1TRF4-1












A1KZ92|Cardiac peroxidase
A1KZ92|polysomal ribonuclease 1PRM1
A1KZ92|Vascular peroxidase 2





O15541|Cwc24 homolog
O15541|RING finger protein 113A
O15541|Zinc finger protein 183


O60942|HCE
O60942|HCAP1
O95758|Regulator of differentiation 1Rod1


Q8IXW5|RNA polymerase II-associated protein 2










O75556|Mammaglobin-2
O75556|Lipophilin-C
O75556|Lacryglobin
O75556|Secretoglobin family 2A member 1

Q12874|SF3a60
Q12874|Spliceosome-associated protein 61SAP 61
Q15427|Pre-mRNA-splicing factor SF3b 49 kDa subunit
Q15427|Spliceosome-associated protein 49SAP 49


P46059|Peptide transporter 1
P46059|Oligopeptide transporter, small intestine isoform
P46059|Intestinal H(+)/peptide cotransporter
Q9P2U8|Solute carrier family 17 member 6
Q9P2U8|Differentiation-associated Na(+)-dependent inorganic phosphate cotransporter
Q9P2U8|Differentiation-associated BNPI

Q96A46|Solute carrier family 25 member 28
Q96A46|Mitochondrial RNA-splicing protein 3/4 homologMRS3/4hMRS3/4
Q96A46|Mitochondrial iron transporter 2





Q9H1V8|Solute carrier family 6 member 17
Q9H1V8|Sodium-dependent neurotransmitter transporter NTT4

O75940|SMN-related protein
O75940|30 kDa splicing factor SMNrp
O75940|Survival motor neuron domain-containing protein 1










Q8N9I0|Synaptotagmin IISytII



















Q8NG06|Protein BIA2
Q8NG06|RING-type E3 ubiquitin transferase TRIM58
Q8NG06|Tripartite motif-containing protein 58




O00358|HNF-3/fork head-like protein 5HFKL5
O00358|HFKH4
O00358|Thyroid transcription factor 2TTF-2
O00358|Forkhead-related protein FKHL15
O00358|Forkhead box protein E2
O95551|5'-tyrosyl-DNA phosphodiesterase5'-Tyr-DNA phosphodiesterase
O95551|ETS1-associated protein 2
O95551|ETS1-associated protein IIEAPII
O95551|TRAF and TNF receptor-associated protein
O95551|Tyrosyl-RNA phosphodiesterase
O95551|VPg unlinkase





Q96LJ8|UBX domain-containing protein 3






Q9HAU5|Nonsense mRNA reducing factor 2
Q9HAU5|Up-frameshift suppressor 2 homologhUpf2



Q9NQZ2|UTP3 homolog
Q9NQZ2|Charged amino acid-rich leucine zipper 1CRL1
Q9NQZ2|Disrupter of silencing SAS10





















Q9ULT6|RING finger protein 203
Q9ULT6|RING-type E3 ubiquitin transferase ZNRF3
Q9ULT6|Zinc/RING finger protein 3

P31689|Heat shock 40 kDa protein 4
P31689|HSDJ
P31689|Heat shock protein J2HSJ-2
P31689|DnaJ protein homolog 2
P31689|Human DnaJ protein 2hDj-2






Q16720|Plasma membrane calcium ATPase isoform 3
Q16720|Plasma membrane calcium pump isoform 3










Q8IY82|Coiled-coil domain-containing protein lobo homolog
Q8IY82|Coiled-coil domain-containing protein 135

O75663|Putative MAPK-activating protein PM10
O75663|Type 2A-interacting proteinTIP

Q92622|Beclin-1 associated RUN domain containing proteinBaron





Q9NYV8|Taste receptor family B member 1TRB1








Q9HBB8|Mu-protocadherin
Q9HBB8|Mucin and cadherin-like protein
Q9HBB8|Mucin-like protocadherinMLPCDH



Q7L8S5|DUBA-2
Q9H361|Testis-specific poly(A)-binding protein
Q15198|PDGF receptor beta-like tumor suppressor




P47985|Complex III subunit 5
P47985|Cytochrome b-c1 complex subunit 5
P47985|Rieske iron-sulfur proteinRISP
P47985|Rieske protein UQCRFS1
P47985|Ubiquinol-cytochrome c reductase iron-sulfur subunit







Q96GX9|APAF1-interacting proteinhAPIP


O75973|C1q and tumor necrosis factor-related protein 14C1q/TNF-related protein 14
O75973|Complement component 1 Q subcomponent-like 1


G3V3T7|Cleavage and polyadenylation specificity factor 100 kDa subunit








O43448|K(+) channel subunit beta-3
O43448|Kv-beta-3

P11279|CD107 antigen-like family member A

Q9BZQ4|Nicotinamide mononucleotide adenylyltransferase 2NMN adenylyltransferase 2
Q9BZQ4|Nicotinate-nucleotide adenylyltransferase 2NaMN adenylyltransferase 2




P35243|Cancer-associated retinopathy proteinProtein CAR




Q9BT88|Synaptotagmin XISytXI

P27144|Adenylate kinase 3-like
P27144|GTP:AMP phosphotransferase AK4


P63252|Cardiac inward rectifier potassium channel
P63252|Inward rectifier K(+) channel Kir2.1IRK-1hIRK1
P63252|Potassium channel, inwardly rectifying subfamily J member 2
Q15012|Golgi 4-transmembrane-spanning transporter MTP









Q9ULC5|Arachidonate--CoA ligase
Q9ULC5|Long-chain acyl-CoA synthetase 5LACS 5

P0C7M7|Acyl-CoA synthetase medium-chain family member 4
P82987|Punctin-2
P17516|HAKRA
P17516|Chlordecone reductaseCDR
P17516|Dihydrodiol dehydrogenase 4DD-4DD4
P17516|3-alpha-HSD1
P17516|3-alpha-hydroxysteroid dehydrogenase type I




Q96A05|Vacuolar proton pump subunit E 2
O14503|Class B basic helix-loop-helix protein 2bHLHb2
O14503|Differentially expressed in chondrocytes protein 1DEC1
O14503|Enhancer-of-split and hairy-related protein 2SHARP-2
O14503|Stimulated by retinoic acid gene 13 protein
Q8IXT1|Nitric oxide-inducible gene protein


Q9NZQ7|B7 homolog 1B7-H1









Q13347|Eukaryotic translation initiation factor 3 subunit 2
Q13347|TGF-beta receptor-interacting protein 1TRIP-1
Q13347|eIF-3-beta
Q13347|eIF3 p36

Q9Y247|Protein XAP-5-like




P78318|Renal carcinoma antigen NY-REN-16
P78318|CD79a-binding protein 1
